block_name,object_id,Mean_Daily_Runoff,Sum_Runoff,Peak_Runoff
AGALPUR,21-393-03284,0.7453166666666667,223.595,52.9451
AMBABHONA,21-370-03310,0.6139163768115943,423.6023,16.0501
ANANDAPUR,21-375-03443,1.2262543859649122,698.965,29.3037
ANUGUL,21-384-03276,0.7209770833333332,865.1724999999999,44.5714
ASKA,21-388-03364,5.479321111111111,986.2778000000001,58.7362
ASTARANGA,21-387-03536,3.9966013333333335,599.4902,31.7435
ATHAGAD,21-381-03332,4.4111014285714285,1852.6626,65.5115
ATHMALLIK,21-384-03277,0.5163957142857143,542.2155,14.4506
ATTABIRA,21-370-03311,0.32579242424242427,215.023,4.9838
AUL,21-379-03434,2.0430879166666664,490.3411,23.2682
BADAMBA,21-381-03333,2.214462857142857,930.0744,70.0867
BADASAHI,21-376-03487,4.270108571428571,1793.4456,74.2308
BADCHANA,21-382-03394,2.545068717948718,992.5767999999999,38.5887
BAHALDA,21-376-03488,0.9433061111111111,339.5902,11.3229
BAHANAGA,21-377-03298,2.297742857142857,482.526,34.6509
BALANGIR,21-393-03285,2.746211777777778,1235.7953,49.1612
BALESHWAR,21-377-03299,3.945394222222222,1775.4274,80.8945
BALIANTA,21-386-03456,6.346362777777778,1142.3453,68.6218
BALIAPAL,21-377-03300,2.0952483333333336,125.71490000000001,50.0195
BALIGUDA,21-390-03422,1.3578560215053765,1262.8061,34.1986
BALIKUDA,21-380-03386,5.7064525,1369.5486,51.0903
BALIPATNA,21-386-03457,6.226772666666666,934.0159,68.4864
BALISANKARA,21-374-03573,0.5464333333333333,377.039,11.0231
BAMRA,21-372-03558,0.8373293055555554,602.8770999999999,36.1125
BANAPUR,21-386-03458,3.5046054166666667,1682.2106,42.143
BANARPAL,21-384-03278,1.7911554166666666,429.8773,26.55
BANDHUGAON,21-398-03466,2.265223333333333,951.3937999999999,27.8324
BANGOMUNDA,21-393-03286,0.7096671794871795,276.7702,8.0684
BANGRIPOSI,21-376-03489,3.7241361290322583,3463.4465999999998,61.9105
BANKI,21-381-03334,4.22849619047619,887.9842,52.8815
