class,age,male,female
0,0 to 1,1157.23,1080.05
1,1 to 5,4620.81,4305.16
10,10 to 15,5415.6,5079.51
15,15 to 20,4905.69,4955.44
20,20 to 25,4999.36,5191.06
25,25 to 30,5256.85,4987.57
30,30 to 35,4911.19,4560.38
35,35 to 40,4363.39,4079.82
40,40 to 45,3956.61,3873.93
45,45 to 50,3632.1,3387.9
5,5 to 10,5776.02,5434.77
50,50 to 55,3029.94,3039.91
55,55 to 60,2610.82,2487.48
60,60 to 65,2104.6,2078.06
65,65 to 70,1309.9,1277.58
70,70 to 75,784.14,931.07
75,75 to 80,466.69,553.42
80,80 and over,366.76,425.09
