class,age,male,female
0,0 to 1,678.6,612.97
1,1 to 5,2709.63,2443.35
10,10 to 15,4039.64,3732
15,15 to 20,4066.51,3971.64
20,20 to 25,4521.7,4289.01
25,25 to 30,4454.28,4260.99
30,30 to 35,4148.97,3885.48
35,35 to 40,3801.93,3589.22
40,40 to 45,3505.26,3326.34
45,45 to 50,3134.23,2956.73
5,5 to 10,3566.41,3185.96
50,50 to 55,2698.66,2644.67
55,55 to 60,2307.07,2224.5
60,60 to 65,1941.1,1789.35
65,65 to 70,1383.68,1363.01
70,70 to 75,1021.34,1100.63
75,75 to 80,769.01,783.09
80,80 and over,597.6,646.33
