class,age,male,female
0,0 to 1,443.26,396.88
1,1 to 5,1769.95,1582
10,10 to 15,2608.08,2388.79
15,15 to 20,2711.74,2664.26
20,20 to 25,2950.07,2868.98
25,25 to 30,3130.16,3020.57
30,30 to 35,2878.75,2658.36
35,35 to 40,2522.31,2376.4
40,40 to 45,2340.99,2250.82
45,45 to 50,2086.4,2025.75
5,5 to 10,2266.72,2033.42
50,50 to 55,1904.09,1928.46
55,55 to 60,1732.22,1615.33
60,60 to 65,1384.34,1258.38
65,65 to 70,976.27,949.29
70,70 to 75,764.3,847.47
75,75 to 80,630.55,623.75
80,80 and over,487.15,497.46
