class,age,male,female
0,0 to 1,1124.98,990.91
1,1 to 5,4405.37,3873.62
10,10 to 15,6309.87,6060.36
15,15 to 20,6022.78,5989.12
20,20 to 25,5931.32,5510.69
25,25 to 30,5610.16,5378.83
30,30 to 35,5170.72,5227.02
35,35 to 40,4809.22,4883.08
40,40 to 45,4466.78,4404.54
45,45 to 50,3937.69,3724.65
5,5 to 10,5879.04,5312.15
50,50 to 55,3293.29,3500.54
55,55 to 60,2915.18,2924.66
60,60 to 65,2539.79,2606.07
65,65 to 70,1773.96,1747.44
70,70 to 75,1200.2,1341.64
75,75 to 80,768.28,786.14
80,80 and over,629.42,695.73
