class,age,male,female
0,0 to 1,2560.04,2390.1
1,1 to 5,10025,9343.29
10,10 to 15,11785.53,11057.69
15,15 to 20,10732.68,10813.44
20,20 to 25,10923.8,11315.67
25,25 to 30,11446.27,10850.12
30,30 to 35,10740.11,9995.53
35,35 to 40,9680.25,9059.85
40,40 to 45,8718.42,8543.83
45,45 to 50,8032.5,7492.8
5,5 to 10,12376.59,11644.18
50,50 to 55,6662.08,6689.25
55,55 to 60,5768.86,5490.06
60,60 to 65,4615.85,4585.29
65,65 to 70,2986.94,2934.07
70,70 to 75,1730.38,2055.36
75,75 to 80,1019.41,1211.27
80,80 and over,814.52,947.23
