class,age,male,female
0,0 to 1,1799.1,1573.93
1,1 to 5,6945.2,6065.43
10,10 to 15,10010.06,9610.43
15,15 to 20,9787.46,9668.74
20,20 to 25,9661.22,8843.34
25,25 to 30,9064.38,8669.47
30,30 to 35,8428.06,8531.27
35,35 to 40,7927.16,8046.52
40,40 to 45,7328.78,7206.93
45,45 to 50,6461.81,6096.22
5,5 to 10,9076.97,8158.93
50,50 to 55,5394.15,5733.85
55,55 to 60,4799.2,4779.03
60,60 to 65,4116.25,4215
65,65 to 70,3016.13,2953.67
70,70 to 75,2053.54,2267.5
75,75 to 80,1303.07,1314.46
80,80 and over,1082.32,1179.11
