class,age,male,female
0,0 to 1,1101.09,1025.01
1,1 to 5,4250.59,3950.04
10,10 to 15,5252.23,4966.61
15,15 to 20,4445.44,4617
20,20 to 25,4249.2,4538.98
25,25 to 30,4417.81,4347.52
30,30 to 35,4070.67,4155.33
35,35 to 40,3903.28,4051.85
40,40 to 45,3630.5,3739.01
45,45 to 50,3233.16,3220.83
5,5 to 10,5967.3,5606.92
50,50 to 55,2644.21,2824.88
55,55 to 60,2052.1,2289.61
60,60 to 65,1744.92,2357.18
65,65 to 70,1231.86,1644.8
70,70 to 75,598.48,935.9
75,75 to 80,267.51,415.72
80,80 and over,207.88,343.07
