class,age,male,female
0,0 to 1,1240.49,1033.53
1,1 to 5,4788.73,3982.88
10,10 to 15,6562.85,5953.41
15,15 to 20,6450.76,5890.07
20,20 to 25,6624.9,5834.82
25,25 to 30,6878.6,6350.71
30,30 to 35,6562.65,6146.63
35,35 to 40,6399.82,5690.57
40,40 to 45,5527.09,4926.79
45,45 to 50,4925.85,4476.15
5,5 to 10,6060.44,5074.15
50,50 to 55,4127.1,4302.25
55,55 to 60,4234.98,3960.16
60,60 to 65,3846.09,3354.35
65,65 to 70,2723.07,2409.63
70,70 to 75,1822.45,1749.53
75,75 to 80,1284.56,1180.31
80,80 and over,1170.52,1046.41
