class,age,male,female
0,0 to 1,1566.86,1463.47
1,1 to 5,6003.65,5597.76
10,10 to 15,7031.18,6602.18
15,15 to 20,6455.3,6498.26
20,20 to 25,6588.84,6839.63
25,25 to 30,6910.5,6571.81
30,30 to 35,6546.21,6107.55
35,35 to 40,6044.28,5686.23
40,40 to 45,5460.75,5369.94
45,45 to 50,5032.74,4716.56
5,5 to 10,7250.74,6811.51
50,50 to 55,4185.02,4214.01
55,55 to 60,3645.08,3482.65
60,60 to 65,2939.95,2911.22
65,65 to 70,1994.79,1956.12
70,70 to 75,1148.17,1371.45
75,75 to 80,652.37,779.42
80,80 and over,520.78,608.98
