class,age,male,female
0,0 to 1,468.6,438.69
1,1 to 5,1795.49,1678
10,10 to 15,2401.97,2280.23
15,15 to 20,2108.53,2031.82
20,20 to 25,1980.28,2031.58
25,25 to 30,2016.06,1973.34
30,30 to 35,1873.88,1860.19
35,35 to 40,1815.24,1835.93
40,40 to 45,1696.45,1747.67
45,45 to 50,1583.29,1563.72
5,5 to 10,2402.89,2204.1
50,50 to 55,1343.22,1404.76
55,55 to 60,1172.58,1150.11
60,60 to 65,945.33,962.92
65,65 to 70,657.6,680.32
70,70 to 75,376.19,469.56
75,75 to 80,214.87,273.14
80,80 and over,166.65,209.94
