class,age,male,female
0,0 to 1,1392.36,1310.88
1,1 to 5,5335.03,5014.13
10,10 to 15,5782.64,5529.17
15,15 to 20,4761.56,5056.43
20,20 to 25,4791.79,5178.59
25,25 to 30,5128.97,4831.82
30,30 to 35,4774.29,4613.44
35,35 to 40,4535.39,4583.2
40,40 to 45,4215.37,4259.05
45,45 to 50,3880.01,3736.09
5,5 to 10,6659.97,6514.19
50,50 to 55,3135.61,3093.3
55,55 to 60,2542.57,2651.1
60,60 to 65,2284.13,2791.53
65,65 to 70,1571.14,1889.9
70,70 to 75,708.58,988.52
75,75 to 80,302.33,462.06
80,80 and over,218.65,336.52
