class,age,male,female
0,0 to 1,524.22,478.84
1,1 to 5,2008.62,1831.55
10,10 to 15,2630.6,2510.43
15,15 to 20,2676.45,2589.59
20,20 to 25,2730.27,2633.35
25,25 to 30,2696.51,2541.42
30,30 to 35,2528.46,2434.6
35,35 to 40,2441.91,2271.45
40,40 to 45,2163.55,2090.25
45,45 to 50,1984.96,1817.92
5,5 to 10,2492.29,2304.27
50,50 to 55,1586.7,1565.83
55,55 to 60,1409.17,1258.3
60,60 to 65,1024.91,1052.91
65,65 to 70,744.57,772.05
70,70 to 75,456.05,491.05
75,75 to 80,247.94,283.94
80,80 and over,196.22,219.59
