class,age,male,female
0,0 to 1,1122.25,998.78
1,1 to 5,4300.05,3820.31
10,10 to 15,5684.19,5253.03
15,15 to 20,5757.3,5784.64
20,20 to 25,6258.99,6103.68
25,25 to 30,6102.69,5810.83
30,30 to 35,5607.66,5259.1
35,35 to 40,5159.44,4869.78
40,40 to 45,4552.26,4368.85
45,45 to 50,4048.89,4002.93
5,5 to 10,5080.51,4611.73
50,50 to 55,3564.72,3664.89
55,55 to 60,3208.89,3199.26
60,60 to 65,2735.14,2529.24
65,65 to 70,1996.21,1932.67
70,70 to 75,1447.82,1537.28
75,75 to 80,1007.34,1014.93
80,80 and over,808.86,832.91
