class,age,male,female
0,0 to 1,1112.94,1011.76
1,1 to 5,4264.39,3869.97
10,10 to 15,5808.39,5404.49
15,15 to 20,5566.32,5331.75
20,20 to 25,5771.49,5415.31
25,25 to 30,6066.91,5724.86
30,30 to 35,5734.35,5220.04
35,35 to 40,5240.15,4806.33
40,40 to 45,4535.64,4252.7
45,45 to 50,4084.58,3804.89
5,5 to 10,5427.96,4997.16
50,50 to 55,3479.36,3396.09
55,55 to 60,2955.86,2751.39
60,60 to 65,2370.15,2279.68
65,65 to 70,1896.33,1782.58
70,70 to 75,1212.17,1325.65
75,75 to 80,840.44,875.74
80,80 and over,658.29,752.96
