class,age,male,female
0,0 to 1,538.49,504.81
1,1 to 5,2063.3,1930.89
10,10 to 15,2629.85,2536.02
15,15 to 20,2040.25,2208.93
20,20 to 25,2035.03,2265.89
25,25 to 30,2119.93,2092.24
30,30 to 35,1887.97,1876.48
35,35 to 40,1818.05,1852.98
40,40 to 45,1726.59,1759.54
45,45 to 50,1540.18,1503.23
5,5 to 10,2783.03,2633.53
50,50 to 55,1286.03,1366.13
55,55 to 60,1127.35,1234.08
60,60 to 65,1163.32,1221.51
65,65 to 70,694.26,736.99
70,70 to 75,344.82,469.22
75,75 to 80,186.3,245.53
80,80 and over,131.3,194.63
