class,age,male,female
0,0 to 1,2387.39,2218.08
1,1 to 5,9532.83,8841.41
10,10 to 15,12013.84,11437.78
15,15 to 20,9983.78,9941.34
20,20 to 25,9360.94,9339.6
25,25 to 30,9734.26,9293.96
30,30 to 35,9648.74,9604.46
35,35 to 40,9330.23,8816.82
40,40 to 45,8372.62,8238.54
45,45 to 50,7426.81,7232.9
5,5 to 10,12039.95,11212.82
50,50 to 55,6441.04,6490.78
55,55 to 60,5446.98,5811.07
60,60 to 65,5044.09,5205.13
65,65 to 70,3128.35,3400.35
70,70 to 75,1851.89,2405.66
75,75 to 80,1032.15,1486.07
80,80 and over,844.38,1146.37
