class,age,male,female
0,0 to 1,207.7,183
1,1 to 5,813.35,715.38
10,10 to 15,1120,1040.72
15,15 to 20,1233.69,1183.89
20,20 to 25,1335.93,1234.12
25,25 to 30,1346.25,1262.1
30,30 to 35,1270.89,1162.97
35,35 to 40,1162.94,1067.38
40,40 to 45,1055.42,951.89
45,45 to 50,937.33,851.82
5,5 to 10,998.27,889.58
50,50 to 55,796.4,768.38
55,55 to 60,730.74,641.08
60,60 to 65,570.55,516.56
65,65 to 70,413.27,391.93
70,70 to 75,294.97,311.45
75,75 to 80,230.94,228.49
80,80 and over,183.68,194.12
