class,age,male,female
0,0 to 1,1497.1,1332.27
1,1 to 5,5779.35,5134.13
10,10 to 15,7681.81,7098.5
15,15 to 20,7717.87,7754.27
20,20 to 25,8366.47,8158.76
25,25 to 30,8155.98,7765.35
30,30 to 35,7465.61,7001.27
35,35 to 40,6797.4,6415.36
40,40 to 45,5984.19,5742.69
45,45 to 50,5329.19,5268.85
5,5 to 10,6914.38,6276.23
50,50 to 55,4692.41,4825.34
55,55 to 60,4216.64,4204.86
60,60 to 65,3585.85,3315.71
65,65 to 70,2567.18,2485.38
70,70 to 75,1850.05,1964.08
75,75 to 80,1319.28,1329.12
80,80 and over,1067.59,1099.03
