class,age,male,female
0,0 to 1,4820.91,4217.54
1,1 to 5,18610.48,16253.03
10,10 to 15,26823.14,25752.28
15,15 to 20,26226.66,25908.53
20,20 to 25,25888.37,23696.77
25,25 to 30,24289.06,23230.86
30,30 to 35,22583.97,22860.53
35,35 to 40,21241.75,21561.6
40,40 to 45,19638.32,19311.81
45,45 to 50,17315.17,16335.53
5,5 to 10,24322.81,21862.81
50,50 to 55,14454.26,15364.53
55,55 to 60,12860.03,12805.98
60,60 to 65,11029.97,11294.58
65,65 to 70,8082.09,7914.71
70,70 to 75,5502.7,6076.04
75,75 to 80,3491.72,3522.24
80,80 and over,2900.19,3159.56
